Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 19:22:25 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"14810","NH79NW 23","Achtaduaig","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","272930","897690","HIGHLAND","SUTHERLAND","DORNOCH","NH 7293 9769","http://canmore.org.uk/site/14810",
"16088","NJ15NW 16","Heldon","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Ring Cairn(S) (Neol/bronze Age)(Possible)","312500","857800","MORAY","MORAYSHIRE","ALVES","NJ 125 578","http://canmore.org.uk/site/16088",
"17012","NJ40SE 15","Scar Hill","Cairn (Period Unassigned), Clearance Cairn(S) (Period Unassigned)","347680","801330","ABERDEENSHIRE","ABERDEENSHIRE","COULL","NJ 4768 0133","http://canmore.org.uk/site/17012",
"17017","NJ40SE 2","Braehead","Cairn (Period Unassigned)(Possible), Cairn(S) (Period Unassigned), Cairn(S) (Period Unassigned), Clearance Cairn (Period Unassigned)","345670","804230","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 4567 0423","http://canmore.org.uk/site/17017",
"17046","NJ40SE 46","Gallow Hill House","Clearance Cairn(S) (Period Unassigned)","346800","801900","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 468 019","http://canmore.org.uk/site/17046",
"17492","NJ50SE 15","Stot Hill","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","359800","803000","ABERDEENSHIRE","ABERDEENSHIRE","LUMPHANAN","NJ 598 030","http://canmore.org.uk/site/17492",
"17509","NJ50SW 11","Craiglich","Cairn(S) (Period Unassigned), Clearance Cairn (Period Unassigned)","353000","804000","ABERDEENSHIRE","ABERDEENSHIRE","COULL","NJ 53 04","http://canmore.org.uk/site/17509",
"17518","NJ50SW 9","Whiterashes Well","Clearance Cairn(S) (Period Unassigned)","353000","803000","ABERDEENSHIRE","ABERDEENSHIRE","COULL","NJ 53 03","http://canmore.org.uk/site/17518",
"18906","NJ72SE 34","Ardtannes Cottages","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Recumbent Stone Circle (Neol/bronze Age), Axehead (Stone)","375780","820410","ABERDEENSHIRE","ABERDEENSHIRE","INVERURIE","NJ 7578 2041","http://canmore.org.uk/site/18906",
"19558","NJ81SW 21","The Slacks","Cairn (Period Unassigned), Clearance Cairn(S) (Period Unassigned)","384170","814420","ABERDEEN, CITY OF","ABERDEENSHIRE","DYCE","NJ 8417 1442","http://canmore.org.uk/site/19558",
"19587","NJ81SW 48","The Slacks","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric), Rig And Furrow (Medieval)","384100","814400","ABERDEEN, CITY OF","ABERDEENSHIRE","DYCE","NJ 841 144","http://canmore.org.uk/site/19587",
"21035","NK04SE 14","Stoneyhill","Clearance Cairn(S) (Period Unassigned)","407630","841030","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0763 4103","http://canmore.org.uk/site/21035",
"21510","NM04NW 17","Tiree, Earnal","Clearance Cairn(S) (Period Unassigned)","103100","747600","ARGYLL AND BUTE","ARGYLL","TIREE","NM 031 476","http://canmore.org.uk/site/21510",
"21525","NM04NW 30","Tiree, Dun An T-sithean","Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned), Rig And Furrow (Medieval)","103500","745400","ARGYLL AND BUTE","ARGYLL","TIREE","NM 035 454","http://canmore.org.uk/site/21525",
"21594","NM15SW 11","Coll, Feall Bay","Cairn (Period Unassigned), Clearance Cairn(S) (Period Unassigned)","114400","754620","ARGYLL AND BUTE","ARGYLL","COLL","NM 1440 5462","http://canmore.org.uk/site/21594",
"21677","NM25NW 15","Coll, Eilean Ornsay","Clearance Cairn (Period Unassigned)","122400","755390","ARGYLL AND BUTE","ARGYLL","COLL","NM 2240 5539","http://canmore.org.uk/site/21677",
"22822","NM80SE 8","Creaganterve Beg","Clearance Cairn (Period Unassigned)","186050","701940","ARGYLL AND BUTE","ARGYLL","KILMARTIN","NM 8605 0194","http://canmore.org.uk/site/22822",
"25203","NN79NW 2","Newtonmore","Clearance Cairn (Prehistoric)","271300","799000","HIGHLAND","INVERNESS-SHIRE","KINGUSSIE AND INSH","NN 713 990","http://canmore.org.uk/site/25203",
"25781","NN86NE 20","Creag Nan Ceard","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","289000","765000","PERTH AND KINROSS","PERTHSHIRE","BLAIR ATHOLL","NN 89 65","http://canmore.org.uk/site/25781",
"26420","NN96SE 25","Badyo","Building(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","298300","761600","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NN 983 616","http://canmore.org.uk/site/26420",
"33874","NO46NW 11","Keillor Wood","Building(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Rig And Furrow (Medieval)","344180","765050","ANGUS","ANGUS","TANNADICE","NO 4418 6505","http://canmore.org.uk/site/33874",
"33982","NO49NW 15","Loch Kinord","Clearance Cairn(S) (Period Unassigned), Field Boundary (Period Unassigned)","344000","799700","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NO 440 997","http://canmore.org.uk/site/33982",
"34002","NO49NW 7","Cnoc Dubh","Clearance Cairn(S) (Period Unassigned)(Possible)","341800","798600","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NO 418 986","http://canmore.org.uk/site/34002",
"35322","NO59SW 2","Ballochan","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","352810","790530","ABERDEENSHIRE","ABERDEENSHIRE","BIRSE","NO 5281 9053","http://canmore.org.uk/site/35322",
"39742","NR93SW 44","Arran, Tormore","Clearance Cairn (Prehistoric)(Possible)","190107","631424","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90107 31424","http://canmore.org.uk/site/39742",
"39746","NR93SW 48","Tormore, Arran","Clearance Cairn (Prehistoric)(Possible)","190190","631410","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 9019 3141","http://canmore.org.uk/site/39746",
"39747","NR93SW 49","Tormore, Arran","Clearance Cairn (Prehistoric)(Possible)","190240","631425","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90240 31425","http://canmore.org.uk/site/39747",
"39750","NR93SW 51","Arran, Moss Farm","Clearance Cairn (Prehistoric)(Possible)","190651","632150","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90651 32150","http://canmore.org.uk/site/39750",
"39764","NR93SW 64","Arran, Machrie Farm","Clearance Cairn (Prehistoric)(Possible)","190090","634004","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90090 34004","http://canmore.org.uk/site/39764",
"40224","NS04SW 2","Arran, South Sannox","Cairnfield (Prehistoric)(Possible), Clearance Cairn(S) (Period Unknown), Field System (Post Medieval), Field System (Period Unknown), Head Dyke (Post Medieval)","201840","644800","NORTH AYRSHIRE","BUTESHIRE","KILBRIDE","NS 0184 4480","http://canmore.org.uk/site/40224",
"40311","NS06NE 4","Bute, Ardmaleish Point","Cairn (Period Unassigned)(Possible), Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned)(Possible), Fort (Period Unassigned)(Possible)","207365","669506","ARGYLL AND BUTE","BUTESHIRE","NORTH BUTE","NS 07365 69506","http://canmore.org.uk/site/40311",
"41551","NS30SE 2","Dalmorton","Cairn (Period Unassigned)(Possible), Clearance Cairn(S) (Period Unassigned)","238290","601640","SOUTH AYRSHIRE","AYRSHIRE","STRAITON (KYLE AND CARRICK)","NS 3829 0164","http://canmore.org.uk/site/41551",
"42427","NS37SW 14","Auchenfoyle Farm","Clearance Cairn (Period Unassigned), Cup Marked Stone (Prehistoric)","231100","671370","INVERCLYDE","RENFREWSHIRE","KILMACOLM","NS 3110 7137","http://canmore.org.uk/site/42427",
"42619","NS40SE 5","Knockhaur","Clearance Cairn(S) (Period Unassigned)","246900","600650","EAST AYRSHIRE","AYRSHIRE","STRAITON (CUMNOCK AND DOON VALLEY)","NS 4690 0065","http://canmore.org.uk/site/42619",
"42624","NS40SW 1","Knockdon","Cairn (Period Unassigned), Clearance Cairn(S) (Period Unassigned)","242900","600580","SOUTH AYRSHIRE","AYRSHIRE","STRAITON (KYLE AND CARRICK)","NS 4290 0058","http://canmore.org.uk/site/42624",
"47646","NS94SE 17","Swaites Hill","Cairn (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned)","295400","641200","SOUTH LANARKSHIRE","LANARKSHIRE","PETTINAIN","NS 954 412","http://canmore.org.uk/site/47646",
"48879","NT04NW 23","Kersewell Mains","Clearance Cairn(S) (Period Unassigned), Arrowhead (Chert)(Neolithic)","301180","648950","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 0118 4895","http://canmore.org.uk/site/48879",
"48881","NT04NW 25","Horse Law","Cairn(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned)(Possible)","303900","649000","SOUTH LANARKSHIRE","LANARKSHIRE","DUNSYRE","NT 039 490","http://canmore.org.uk/site/48881",
"49029","NT05SW 5","Corse Law","Clearance Cairn(S) (Period Unassigned)","301900","650600","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 019 506","http://canmore.org.uk/site/49029",
"49030","NT05SW 6","Corse Law","Clearance Cairn(S) (Period Unassigned)","301700","650400","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 017 504","http://canmore.org.uk/site/49030",
"49031","NT05SW 7","Dykefoot","Clearance Cairn (Period Unassigned)","302940","652840","SOUTH LANARKSHIRE","LANARKSHIRE","DUNSYRE","NT 0294 5284","http://canmore.org.uk/site/49031",
"54464","NT44NE 1","Lauder Common","Cairn(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric), Stock Enclosure (Period Unassigned)","349600","646500","SCOTTISH BORDERS, THE","BERWICKSHIRE","LAUDER","NT 496 465","http://canmore.org.uk/site/54464",
"62141","NX25NE 4","Dirnean Fell","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","225200","557200","DUMFRIES AND GALLOWAY","WIGTOWNSHIRE","OLD LUCE","NX 252 572","http://canmore.org.uk/site/62141",
"62228","NX25SE 36","High Moor","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","229480","550240","DUMFRIES AND GALLOWAY","WIGTOWNSHIRE","MOCHRUM","NX 2948 5024","http://canmore.org.uk/site/62228",
"64240","NX68NE 6","Kilnair","Clearance Cairn(S) (Period Unassigned), Farmstead (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric)(Possible), Structure (Period Unassigned)","266400","586800","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","DALRY (STEWARTRY)","NX 664 868","http://canmore.org.uk/site/64240",
"65496","NX96SW 6","Mid Burn","Clearance Cairn(S) (Period Unassigned), Head Dyke (Post Medieval), Hut Circle(S) (Prehistoric)","293000","561100","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","COLVEND AND SOUTHWICK","NX 930 611","http://canmore.org.uk/site/65496",
"68803","NX38SW 4","Rig Of Cairn Kinna","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","233820","580090","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","MINNIGAFF","NX 3382 8009","http://canmore.org.uk/site/68803",
"68805","NX38SW 6","Bargrennan Burn","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible)","233500","580000","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","MINNIGAFF","NX 335 800","http://canmore.org.uk/site/68805",
"69450","NJ13SW 10","Meiklepark Wood","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","311400","831500","HIGHLAND","MORAYSHIRE","CROMDALE, INVERALLAN AND ADVIE","NJ 114 315","http://canmore.org.uk/site/69450",
"69940","NX77NE 9","Drumhumphrey Hill","Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric)","278500","576500","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","KIRKPATRICK DURHAM","NX 785 765","http://canmore.org.uk/site/69940",
"73652","NJ83NE 531","Bellmuir","Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned)(Possible), Hut Circle(S) (Prehistoric)(Possible), Shieling Hut (Post Medieval)(Possible)","387800","836420","ABERDEENSHIRE","ABERDEENSHIRE","METHLICK","NJ 8780 3642","http://canmore.org.uk/site/73652",
"75011","NO88NE 73","Glen Ury","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)(Possible)","386070","787490","ABERDEENSHIRE","KINCARDINESHIRE","FETTERESSO","NO 8607 8749","http://canmore.org.uk/site/75011",
"75044","NG62SW 83","Skye, Ben Suardal","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible)","162270","820220","HIGHLAND","INVERNESS-SHIRE","STRATH","NG 6227 2022","http://canmore.org.uk/site/75044",
"75276","NS05NE 30","Bute, Loch Quien","Clearance Cairn (Period Unassigned), Cup Marked Rock (Prehistoric)","206500","658800","ARGYLL AND BUTE","BUTESHIRE","KINGARTH","NS 065 588","http://canmore.org.uk/site/75276",
"75504","NX88NW 90","Coatston Wood","Burnt Mound(S) (Prehistoric), Clearance Cairn(S) (Period Unassigned)","283600","585700","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","GLENCAIRN","NX 836 857","http://canmore.org.uk/site/75504",
"76483","NG77SE 17","Allt An Chamasaidh","Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric)","179970","872760","HIGHLAND","ROSS AND CROMARTY","GAIRLOCH","NG 7997 7276","http://canmore.org.uk/site/76483",
"76501","NG87SW 7","Shieldaig","Building (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned), Hut Circle (Prehistoric)(Possible)","180790","873000","HIGHLAND","ROSS AND CROMARTY","GAIRLOCH","NG 8079 7300","http://canmore.org.uk/site/76501",
"76505","NG87SW 11","Achadh Na Clais","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric), Shieling Hut(S) (Post Medieval)","182838","871062","HIGHLAND","ROSS AND CROMARTY","GAIRLOCH","NG 82838 71062","http://canmore.org.uk/site/76505",
"76699","NH64SE 61","Welltown Of Easter Leys","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","269300","840900","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 693 409","http://canmore.org.uk/site/76699",
"76794","NC45NW 90","Eriboll","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Shieling(S) (Post Medieval)","242800","955900","HIGHLAND","SUTHERLAND","DURNESS","NC 428 559","http://canmore.org.uk/site/76794",
"76932","NJ63SW 34","Jericho","Clearance Cairn(S) (Period Unassigned), House Platform (Period Unassigned), Hut Circle(S) (Prehistoric)","363730","833430","ABERDEENSHIRE","ABERDEENSHIRE","CULSALMOND","NJ 6373 3343","http://canmore.org.uk/site/76932",
"77677","NO46NW 10","Keillor Wood","Building(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Drain (Period Unassigned), Hut Circle(S) (Prehistoric), Rig And Furrow (Medieval)","344180","765050","ANGUS","ANGUS","TANNADICE","NO 4418 6505","http://canmore.org.uk/site/77677",
"79441","NS91NE 45","Coupland Hill","Clearance Cairn(S) (Period Unassigned), Unenclosed Platform Settlement (Prehistoric)","297500","619900","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 975 199","http://canmore.org.uk/site/79441",
"83766","NX55NE 51","Skyre Burn","Burnt Mound (Prehistoric), Clearance Cairn(S) (Period Unassigned)","255960","556690","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","ANWOTH","NX 5596 5669","http://canmore.org.uk/site/83766",
"87339","NO49NW 39","Creag Mullach","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible)","341250","795200","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NO 4125 9520","http://canmore.org.uk/site/87339",
"87575","NH68NE 56","Dun Alascaig","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","266000","887000","HIGHLAND","ROSS AND CROMARTY","EDDERTON","NH 66 87","http://canmore.org.uk/site/87575",
"97112","NC50SE 99","Achiemore","Clearance Cairn(S) (Period Unassigned), Enclosure (Period Unassigned)","257900","903000","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 579 030","http://canmore.org.uk/site/97112",
"105018","NG88SW 9","Naast","Agricultural Boundary (Period Unknown), Clearance Cairn (Period Unassigned), Croft (Period Unassigned), Cultivation Remains (Period Unassigned), Enclosure (Period Unassigned), Head Dyke (Post Medieval), Hut Circle (Prehistoric), Rig And Furrow (Medieval), Township (Period Unassigned)","182600","883300","HIGHLAND","ROSS AND CROMARTY","GAIRLOCH","NG 826 833","http://canmore.org.uk/site/105018",
"107477","NJ53SE 13","Red Hill","Clearance Cairn(S) (Period Unassigned), Field Boundary(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible)","358900","832200","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 589 322","http://canmore.org.uk/site/107477",
"108137","NJ42NE 98","Wheedlemont Hill","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","346790","825960","ABERDEENSHIRE","ABERDEENSHIRE","AUCHINDOIR AND KEARN","NJ 4679 2596","http://canmore.org.uk/site/108137",
"114023","NX37NW 36","Drumcuil","Bank (Earthwork) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Standing Stone (Prehistoric)","233450","577190","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","MINNIGAFF","NX 3345 7719","http://canmore.org.uk/site/114023",
"117709","NO29NW 5","Crathie Burn","Clearance Cairn(S) (Period Unassigned), Enclosure(S) (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric)","324900","797300","ABERDEENSHIRE","ABERDEENSHIRE","CRATHIE AND BRAEMAR","NO 249 973","http://canmore.org.uk/site/117709",
"122374","NC70NW 23","Cnoc Achadh Na H-uaighe","Clearance Cairn (Period Unknown), Hut Circle (Prehistoric)","271600","907500","HIGHLAND","SUTHERLAND","ROGART","NC 7160 0750","http://canmore.org.uk/site/122374",
"123544","NH57SE 34","Cnoc A' Leacachan","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","257600","872600","HIGHLAND","ROSS AND CROMARTY","ROSSKEEN","NH 576 726","http://canmore.org.uk/site/123544",
"123553","NN69NW 6","Gaskbeg","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric), Rig And Furrow (Medieval), Slag (Iron)","262250","795380","HIGHLAND","INVERNESS-SHIRE","LAGGAN","NN 6225 9538","http://canmore.org.uk/site/123553",
"123938","NC70SW 67","Corry","Burnt Mound(S) (Prehistoric), Cairnfield (Period Unassigned)(Possible), Clearance Cairn(S) (Period Unassigned)","273000","902360","HIGHLAND","SUTHERLAND","ROGART","NC 7300 0236","http://canmore.org.uk/site/123938",
"128940","NO39NW 9","East Milton Burn","Building(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Field Boundary (Period Unassigned), Hut Circle(S) (Prehistoric)(Possible), Rig And Furrow (Medieval)","332500","799900","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NO 325 999","http://canmore.org.uk/site/128940",
"138858","HU25NW 27","Kellister","Clearance Cairn(S) (Period Unassigned)","424100","1155700","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 241 557","http://canmore.org.uk/site/138858",
"149697","NN82SE 104","Stonefield","Clearance Cairn (Period Unassigned), Cup Marked Stone (Prehistoric)","285150","724840","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8515 2484","http://canmore.org.uk/site/149697",
"157760","NH74SE 39","Easter Daltullich","Clearance Cairn (Period Unassigned), Roundhouse(S) (Prehistoric)","275200","842700","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 752 427","http://canmore.org.uk/site/157760",
"160747","NJ15NW 28","Heldon Hill","Clearance Cairn(S) (Period Unassigned), Field Boundary(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible)","313120","858010","MORAY","MORAYSHIRE","ALVES","NJ 1312 5801","http://canmore.org.uk/site/160747",
"181229","NH43SW 22","Buntait Forest","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","240860","832420","HIGHLAND","INVERNESS-SHIRE","KILTARLITY AND CONVINTH","NH 4086 3242","http://canmore.org.uk/site/181229",
"181230","NH43SW 23","Buntait Forest","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","240290","832140","HIGHLAND","INVERNESS-SHIRE","KILTARLITY AND CONVINTH","NH 4029 3214","http://canmore.org.uk/site/181230",
"181240","NC50NE 123","Dalchork Forest","Burnt Mound(S) (Prehistoric), Clearance Cairn(S) (Period Unassigned)","257390","909000","HIGHLAND","SUTHERLAND","LAIRG","NC 5739 0900","http://canmore.org.uk/site/181240",
"185665","NS86NW 59","Cairneyhill Quarry, Caldercruix","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned)(Possible), Hut Circle (Prehistoric), Core (Chert), Unidentified Flint (Flint), Unidentified Pottery (14th Century)","284730","666000","NORTH LANARKSHIRE","LANARKSHIRE","SHOTTS (MONKLANDS)","NS 8473 6600","http://canmore.org.uk/site/185665",
"194268","NT03NE 81","Hartree Hills","Burnt Mound (Prehistoric), Clearance Cairn (Period Unassigned)","305800","635810","SCOTTISH BORDERS, THE","PEEBLES-SHIRE","BROUGHTON, GLENHOLM AND KILBUCHO","NT 0580 3581","http://canmore.org.uk/site/194268",
"236051","NX74SW 27","Wall Hill","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric), Quarry (Period Unassigned)","272638","543969","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","RERRICK","NX 72638 43969","http://canmore.org.uk/site/236051",
"241349","NC71SW 11","Allt A' Mhuilinn Duibh","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned), Hut Circle(S) (Prehistoric), Structure(S) (Period Unassigned)","274570","914430","HIGHLAND","SUTHERLAND","ROGART","NC 7457 1443","http://canmore.org.uk/site/241349",
"254825","NO36NE 41","The Drums","Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric)","335925","769031","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 35925 69031","http://canmore.org.uk/site/254825",
"254871","NO37SE 30","Rottal Burn","Bank (Earthwork)(S) (Period Unassigned), Building(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut(S) (Period Unassigned), Hut Circle (Prehistoric), Rig And Furrow (Medieval)","337389","770536","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 37389 70536","http://canmore.org.uk/site/254871",
"254872","NO37SE 31","Burn Of Heughs","Building(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Marker Stone (Period Unassigned), Rig And Furrow (Medieval)","337362","771276","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 37362 71276","http://canmore.org.uk/site/254872",
"254916","NO36NE 57","Gella","Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric), Rig And Furrow (Medieval)","337931","765558","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 37931 65558","http://canmore.org.uk/site/254916",
"255013","NO36NE 102","Glasslet Farm","Clearance Cairn(S) (Prehistoric), Hut (Period Unassigned)(Possible), Rig And Furrow (Medieval)","337860","769546","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 37860 69546","http://canmore.org.uk/site/255013",
"268516","NK04SE 68","Peterhead, Stoneyhill Landfill","Clearance Cairn (Period Unassigned)","407630","841450","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0763 4145","http://canmore.org.uk/site/268516",
"271214","ND34SW 409","Loch Watenan","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","331905","941703","HIGHLAND","CAITHNESS","WICK","ND 31905 41703","http://canmore.org.uk/site/271214",
"273581","NH80SW 57","Highland Wildlife Park","Clearance Cairn(S) (Period Unassigned), Dyke(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Kiln(S) (Period Unassigned)","280300","803500","HIGHLAND","INVERNESS-SHIRE","ALVIE","NH 803 035","http://canmore.org.uk/site/273581",
"273739","NH22NE 27","Knockfin Woodland Survey","Clearance Cairn(S) (Period Unassigned), Enclosure(S) (Period Unassigned), Roundhouse(S) (Prehistoric), Structure(S) (Period Unassigned)","229000","826500","HIGHLAND","INVERNESS-SHIRE","KILMORACK","NH 290 265","http://canmore.org.uk/site/273739",
"276485","NS55SE 387","Picketlaw","Burnt Mound (Prehistoric), Clearance Cairn (Period Unassigned)","257040","650920","EAST RENFREWSHIRE","RENFREWSHIRE","EAGLESHAM","NS 5704 5092","http://canmore.org.uk/site/276485",
"278982","NN43NE 15","Low Botaurnie","Clearance Cairn (Period Unassigned), Cup Marked Rock (Prehistoric)(Possible), Enclosure (Period Unassigned)","249680","737100","STIRLING","PERTHSHIRE","KILLIN","NN 4968 3710","http://canmore.org.uk/site/278982",
"285225","NJ02NE 78","Hill Of Lethendry","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","308568","826789","HIGHLAND","MORAYSHIRE","CROMDALE, INVERALLAN AND ADVIE","NJ 08568 26789","http://canmore.org.uk/site/285225",
"292024","NS55SW 226","East Moorhouse","Bank (Earthwork)(S) (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric), Quarry(S) (Period Unassigned), Track(S) (Period Unassigned)","253181","651360","EAST RENFREWSHIRE","RENFREWSHIRE","EAGLESHAM","NS 53181 51360","http://canmore.org.uk/site/292024",
"294459","NG82NE 71","Allt Druim Dhonnachaidh","Clearance Cairn(S) (Period Unassigned), Cultivation Terrace(S) (Period Unassigned), Dyke (Period Unassigned), Hut Circle (Prehistoric)","186500","829600","HIGHLAND","ROSS AND CROMARTY","LOCHALSH","NG 865 296","http://canmore.org.uk/site/294459",
"295276","NJ70SE 122","Redhill","Clearance Cairn(S) (Period Unassigned), Field Boundary (Period Unassigned), Hut Circle(S) (Prehistoric)(Possible)","378010","803790","ABERDEENSHIRE","ABERDEENSHIRE","ECHT","NJ 7801 0379","http://canmore.org.uk/site/295276",
"301897","NH25SW 30","Allt A’choire Duibh","Clearance Cairn (Period Unassigned), Hut Circle (Prehistoric), Platform (Period Unassigned)","222480","852340","HIGHLAND","ROSS AND CROMARTY","CONTIN","NH 2248 5234","http://canmore.org.uk/site/301897",
"304443","NX68SE 57","Duchrae Farm","Burnt Mound(S) (Bronze Age), Cairn (Prehistoric), Clearance Cairn(S) (Medieval), Dam (Modern), Field System(S) (Medieval), Gravel Pit(S) (Post Medieval), Rig And Furrow (Medieval)","265500","584000","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","DALRY (STEWARTRY)","NX 655 840","http://canmore.org.uk/site/304443",
