Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 19:22:25 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"311892","HP60SW 84","Unst, Brecknagarth","Clearance Cairn(S) (Prehistoric), Enclosure (Prehistoric)","461292","1201615","SHETLAND ISLANDS","SHETLAND","UNST","HP 61292 01615","http://canmore.org.uk/site/311892",
"332604","HU25SE 575","Lee Of Houlland","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric)","427283","1150126","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 27283 50126","http://canmore.org.uk/site/332604",
"332620","HU25SE 576","Browland","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric)","427087","1150634","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 27087 50634","http://canmore.org.uk/site/332620",
"336018","NB32SE 81","Ecc 2.12 Eilean Chalium Cille","Cairn (Period Unassigned), Chambered Cairn (Prehistoric)(Possible), Clearance Cairn (Modern), Kerb Cairn (Prehistoric)(Possible)","138744","921155","WESTERN ISLES","ROSS AND CROMARTY","LOCHS","NB 38744 21155","http://canmore.org.uk/site/336018",
"340140","HU31SE 111","Garths Ness","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric)","436270","1111790","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 3627 1179","http://canmore.org.uk/site/340140",
"348015","HU45NW 8","Kergord","Clearance Cairn (Prehistoric)(Possible), Ditch (Prehistoric)(Possible), Structure (Post Medieval)","440315","1156846","SHETLAND ISLANDS","SHETLAND","TINGWALL","HU 40315 56846","http://canmore.org.uk/site/348015",
"351940","NH31SE 8","Allt A' Bhrochain","Clearance Cairn(S) (Prehistoric)(Possible), Hut Circle(S) (Prehistoric)(Possible)","237981","810921","HIGHLAND","INVERNESS-SHIRE","BOLESKINE AND ABERTARFF","NH 37981 10921","http://canmore.org.uk/site/351940",
"351941","NH31SE 9","Allt Na Criche","Clearance Cairn(S) (Prehistoric)(Possible), Hut Circle(S) (Prehistoric)(Possible)","238182","811142","HIGHLAND","INVERNESS-SHIRE","BOLESKINE AND ABERTARFF","NH 38182 11142","http://canmore.org.uk/site/351941",
"358350","NH64SW 79","Ness Castle","Cist (Bronze Age)(Possible), Clearance Cairn(S) (Period Unknown), Pit (Prehistoric), Unidentified Pottery(S) (Prehistoric)","264881","841601","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 64881 41601","http://canmore.org.uk/site/358350",
"362357","NG70 2","Mam Uidhe","Boundary Dyke(S) (Post Medieval), Clearance Cairn(S) (Period Unknown), Hut Circle(S) (Prehistoric), Structure (Prehistoric)","176298","802421","HIGHLAND","INVERNESS-SHIRE","GLENELG (LOCHABER)","NG 76298 02421","http://canmore.org.uk/site/362357",
"276","HU24NE 11","South Stany Fields","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned), Settlement (Period Unassigned)","425965","1149909","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 25965 49909","http://canmore.org.uk/site/276",
"296","HU24NE 9","Gruting School","Clearance Cairn(S) (Period Unassigned), Settlement (Period Unassigned)","428190","1149850","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 2819 4985","http://canmore.org.uk/site/296",
"546","HU31SE 12","Wiltrow, Southvoe","Clearance Cairn(S) (Period Unassigned), Iron Working Site (Period Unassigned), Settlement (Period Unassigned)","439570","1114530","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 3957 1453","http://canmore.org.uk/site/546",
"4783","NC36NE 23","Keoldale","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","238600","966590","HIGHLAND","SUTHERLAND","DURNESS","NC 3860 6659","http://canmore.org.uk/site/4783",
"4784","NC36NE 24","Keoldale North","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","238600","966800","HIGHLAND","SUTHERLAND","DURNESS","NC 386 668","http://canmore.org.uk/site/4784",
"4876","NC40SW 5","Garbh Leathad","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","242410","901140","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 4241 0114","http://canmore.org.uk/site/4876",
"4877","NC40SW 6","Strath Oykel","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","243100","901400","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NC 431 014","http://canmore.org.uk/site/4877",
"4915","NC45NE 6","Loch Hope","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","247210","956030","HIGHLAND","SUTHERLAND","DURNESS","NC 4721 5603","http://canmore.org.uk/site/4915",
"4937","NC45NW 91","Eriboll","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","242800","955900","HIGHLAND","SUTHERLAND","DURNESS","NC 428 559","http://canmore.org.uk/site/4937",
"4958","NC46SE 10","Allt An Teampuill","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","248100","960530","HIGHLAND","SUTHERLAND","DURNESS","NC 4810 6053","http://canmore.org.uk/site/4958",
"4965","NC46SE 3","Loch Ach' An Lochaidh","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","245800","960300","HIGHLAND","SUTHERLAND","DURNESS","NC 458 603","http://canmore.org.uk/site/4965",
"4994","NC50NE 25","Sydney House","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259240","907540","HIGHLAND","SUTHERLAND","LAIRG","NC 5924 0754","http://canmore.org.uk/site/4994",
"4997","NC50NE 28","Rhinamain","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258380","905300","HIGHLAND","SUTHERLAND","LAIRG","NC 5838 0530","http://canmore.org.uk/site/4997",
"5010","NC50NE 4","An T-sron","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","257700","908900","HIGHLAND","SUTHERLAND","LAIRG","NC 577 089","http://canmore.org.uk/site/5010",
"5026","NC50NE 54","Ord Place","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","257200","906100","HIGHLAND","SUTHERLAND","LAIRG","NC 572 061","http://canmore.org.uk/site/5026",
"5028","NC50NE 56","The Ord South","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","257450","905180","HIGHLAND","SUTHERLAND","LAIRG","NC 5745 0518","http://canmore.org.uk/site/5028",
"5032","NC50NE 59","Savalbeg","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259480","907650","HIGHLAND","SUTHERLAND","LAIRG","NC 5948 0765","http://canmore.org.uk/site/5032",
"5034","NC50NE 60","Savalbeg, West","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259340","907670","HIGHLAND","SUTHERLAND","LAIRG","NC 5934 0767","http://canmore.org.uk/site/5034",
"5041","NC50NE 67","Saval, East","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","259610","908470","HIGHLAND","SUTHERLAND","LAIRG","NC 5961 0847","http://canmore.org.uk/site/5041",
"5045","NC50NE 70","Savalmore","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258570","908630","HIGHLAND","SUTHERLAND","LAIRG","NC 5857 0863","http://canmore.org.uk/site/5045",
"5046","NC50NE 71","Savalmore, West","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","258550","908400","HIGHLAND","SUTHERLAND","LAIRG","NC 5855 0840","http://canmore.org.uk/site/5046",
"5050","NC50NE 75","Cnoc Chatha","Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric), Sheepfold (Period Unassigned)","257400","909600","HIGHLAND","SUTHERLAND","LAIRG","NC 574 096","http://canmore.org.uk/site/5050",
"5052","NC50NE 77","Saval, South","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","258980","907470","HIGHLAND","SUTHERLAND","LAIRG","NC 5898 0747","http://canmore.org.uk/site/5052",
